ticket_id,requester_id,created_at,description,mrr,type,page,app_version,source,topic
NW-10000,cust_174,2026-05-12T17:07:00.000Z,Took me half an hour to work out the basic flow.,0,question,/onboarding,4.10.0,support_inbox,onboarding-confusing
NW-10001,cust_080,2026-05-12T17:21:00.000Z,My inbox has doubled and I have changed nothing.,0,bug,/settings/notifications,4.10.0,support_inbox,duplicate-notifications
NW-10002,cust_151,2026-05-14T11:09:00.000Z,Please add checkboxes so I can handle a batch together.,0,feature_request,/approvals,4.10.0,api,bulk-approve
NW-10003,cust_097,2026-05-14T15:40:00.000Z,We need people deprovisioned automatically when they leave.,6840,feature_request,/settings/team,4.10.0,api,scim-provisioning
NW-10004,cust_020,2026-05-15T08:45:00.000Z,The red and green lines are identical to me.,0,bug,/dashboard,4.10.0,support_inbox,chart-colours-inaccessible
NW-10005,cust_028,2026-05-15T11:32:00.000Z,Offline support would help enormously for field staff.,150,feature_request,/mobile/entry,4.10.0,support_inbox,offline-mode
NW-10006,cust_168,2026-05-15T15:43:00.000Z,My team stopped getting the weekly summary and nobody changed anything.,0,bug,/reports,4.10.0,support_inbox,scheduled-reports-missing
NW-10007,cust_035,2026-05-15T17:59:00.000Z,Is there any record of administrative actions?,150,feature_request,/settings/security,4.10.0,support_inbox,audit-log
NW-10008,cust_097,2026-05-17T15:35:00.000Z,We keep getting 429s and cannot find the published ceiling.,6840,question,/settings/api,4.10.0,nub,api-rate-limits
NW-10009,cust_079,2026-05-18T14:13:00.000Z,Do you support SCIM for automatic user provisioning?,1300,feature_request,/settings/team,4.10.0,support_inbox,scim-provisioning
NW-10010,cust_003,2026-05-18T14:53:00.000Z,We need people deprovisioned automatically when they leave.,10230,feature_request,/settings/team,4.10.0,support_inbox,scim-provisioning
NW-10011,cust_056,2026-05-18T17:41:00.000Z,Clicking approve forty times in a row is painful.,70,feature_request,/approvals,4.10.0,support_inbox,bulk-approve
NW-10012,cust_103,2026-05-19T11:15:00.000Z,The session expires while I am still actively using it.,0,bug,/login,4.10.0,nub,session-timeout-short
NW-10013,cust_186,2026-05-19T11:53:00.000Z,Please add checkboxes so I can handle a batch together.,80,feature_request,/approvals,4.10.0,nub,bulk-approve
NW-10014,cust_186,2026-05-19T12:59:00.000Z,We keep getting 429s and cannot find the published ceiling.,80,question,/settings/api,4.10.0,support_inbox,api-rate-limits
NW-10015,cust_003,2026-05-20T07:53:00.000Z,We cannot expand seats until login goes through our own provider.,10230,feature_request,/settings/security,4.10.0,support_inbox,sso-saml
NW-10016,cust_067,2026-05-20T10:05:00.000Z,Automatic extraction gets confused by anything crumpled.,1510,bug,/mobile/capture,4.10.0,support_inbox,ocr-accuracy
NW-10017,cust_003,2026-05-20T11:40:00.000Z,"We need our own labels, not the built-in ones.",10230,feature_request,/settings,4.10.0,support_inbox,custom-categories
