ticket_id,requester_id,created_at,description,mrr,type,page
T-1001,cust_004,2026-05-04T09:12:00Z,"The CSV export on the reports page just spins forever and never downloads",240,bug,/reports
T-1002,cust_011,2026-05-06T14:41:00Z,"Please add dark mode. Staring at this all day is rough.",0,feature_request,/dashboard
T-1003,cust_019,2026-05-11T08:03:00Z,"csv export is broken, I click download and nothing happens",120,bug,/reports
T-1004,cust_002,2026-05-14T16:22:00Z,"Would love a dark mode option in settings",480,feature_request,/settings
T-1005,cust_027,2026-05-18T11:55:00Z,"We need SAML SSO before we can roll this out to the wider org",6200,feature_request,/settings/security
T-1006,cust_004,2026-05-21T10:09:00Z,"Still no luck with the CSV export from reports — it fails silently",240,bug,/reports
T-1007,cust_033,2026-05-24T13:30:00Z,"The scanner is honestly magic, saved us hours this week",90,praise,/scan
T-1008,cust_008,2026-05-29T09:48:00Z,"Any chance of dark mode? The white background is brutal in the evening",60,feature_request,/dashboard
T-1009,cust_014,2026-06-02T15:17:00Z,"Export to CSV broken again on the reports screen",310,bug,/reports
T-1010,cust_027,2026-06-05T12:04:00Z,"Following up on SAML SSO — our security review is blocked on it",6200,feature_request,/settings/security
T-1011,cust_041,2026-06-09T08:26:00Z,"Mobile app crashes every time I upload a photo",0,bug,/upload
T-1012,cust_003,2026-06-12T17:39:00Z,"dark mode please! we've been asking for a while",150,feature_request,/dashboard
T-1013,cust_022,2026-06-16T10:51:00Z,"SSO support (SAML or OIDC) is a hard requirement for our procurement team",4800,feature_request,/settings/security
T-1014,cust_019,2026-06-19T14:08:00Z,"The csv export still does not work, this has been broken for weeks",120,bug,/reports
T-1015,cust_037,2026-06-23T09:31:00Z,"App crashes on photo upload from my phone, every single time",0,bug,/upload
T-1016,cust_002,2026-06-26T11:13:00Z,"Second vote for dark mode, our whole team wants it",480,feature_request,/settings
T-1017,cust_045,2026-06-30T16:45:00Z,"Can you support SAML SSO? We cannot buy without it.",9100,feature_request,/settings/security
T-1018,cust_012,2026-07-02T08:19:00Z,"CSV export broken — downloads a zero byte file from reports",200,bug,/reports
T-1019,cust_030,2026-07-06T13:57:00Z,"the app destroys my eyes at night, everything is blindingly white",75,feature_request,/dashboard
T-1020,cust_041,2026-07-09T10:22:00Z,"Upload crashes the mobile app instantly, cannot attach anything",0,bug,/upload
T-1021,cust_006,2026-07-13T15:34:00Z,"Dark mode would make this so much nicer to use at night",30,feature_request,/dashboard
T-1022,cust_022,2026-07-17T09:05:00Z,"Checking in on SAML SSO timing, procurement is waiting on us",4800,feature_request,/settings/security
T-1023,cust_050,2026-07-20T12:48:00Z,"Love the new scan flow, huge improvement",45,praise,/scan
T-1024,cust_014,2026-07-24T14:11:00Z,"Reports CSV export is broken, returns an empty file",310,bug,/reports
T-1025,cust_017,2026-07-28T08:37:00Z,"Why is everything so white? Give us a night theme please",25,feature_request,/dashboard
T-1026,cust_009,2026-07-31T16:02:00Z,"Bulk edit would save us a huge amount of time",520,feature_request,/records
T-1027,cust_035,2026-08-03T10:44:00Z,"Please add dark mode, my eyes cannot take it anymore",180,feature_request,/dashboard
T-1028,cust_023,2026-08-06T13:26:00Z,"Can we get webhooks when a record changes?",680,feature_request,/settings/integrations
T-1029,cust_037,2026-08-10T09:58:00Z,"Photo upload crashes the app on Android 15",0,bug,/upload
T-1030,cust_048,2026-08-13T15:41:00Z,"The keyboard shortcuts are great, thanks for adding those",110,praise,/dashboard
T-1031,cust_005,2026-08-19T08:14:00Z,"The dashboard takes forever to load, 30 seconds or more",340,bug,/dashboard
T-1032,cust_021,2026-08-20T11:29:00Z,"Dashboard loading is incredibly slow since last week",290,bug,/dashboard
T-1033,cust_013,2026-08-22T14:52:00Z,"dashboard is so slow to load now, it used to be instant",160,bug,/dashboard
T-1034,cust_029,2026-08-24T09:07:00Z,"Loading the dashboard takes 20+ seconds, is something wrong?",410,bug,/dashboard
T-1035,cust_007,2026-08-26T10:33:00Z,"The dashboard is extremely slow to load today",250,bug,/dashboard
T-1036,cust_016,2026-08-27T13:18:00Z,"dashboard load times are terrible, taking almost a minute",370,bug,/dashboard
T-1037,cust_026,2026-08-27T16:04:00Z,"Slow dashboard loading is making the product hard to use",530,bug,/dashboard
T-1038,cust_031,2026-08-28T09:22:00Z,"Why is the dashboard loading so slowly all of a sudden?",95,bug,/dashboard
T-1039,cust_040,2026-08-29T11:47:00Z,"The dashboard takes ages to load, please look into it",620,bug,/dashboard
T-1040,cust_044,2026-08-30T14:15:00Z,"Dashboard loading slow, timing out on our office wifi",280,bug,/dashboard
T-1041,cust_010,2026-08-30T15:52:00Z,"Export the reports as CSV — broken, still",130,bug,/reports
T-1042,cust_045,2026-08-31T08:41:00Z,"SAML SSO — any update? We have budget approved and are waiting.",9100,feature_request,/settings/security
T-1043,cust_018,2026-08-31T12:09:00Z,"He said ""this is the best tool we've bought all year"" — just passing it on",210,praise,/dashboard
T-1044,cust_034,2026-08-31T14:36:00Z,"Would be great to have an audit log for compliance",1400,feature_request,/settings/security
T-1045,cust_003,2026-08-31T17:20:00Z,"dark mode, dark mode, dark mode. Please.",150,feature_request,/settings
